Date,Article Sentiment,Impact Score,Stock Code
2014-12-22,0.005,76.882,BA
2014-12-21,-0.092,76.108,BA
2014-12-20,0.033,78.033,BA
2014-12-19,0.05,78.45,BA
2014-12-18,0.131,78.5,BA
2014-12-17,0.533,79.088,BA
2014-12-16,0.456,78.52,BA
2014-12-15,-0.625,77.5,BA
2014-12-14,-0.576,78.091,BA
2014-12-13,-0.414,77.815,BA
2014-12-12,-0.213,78.302,BA
2014-12-11,0.414,79.158,BA
2014-12-10,-0.127,79.62,BA
2014-12-09,0.092,78.675,BA
2014-12-08,0.083,73.083,BA
2014-12-07,0.083,74.5,BA
2014-12-06,-0.091,78.545,BA
2014-12-05,-0.167,81.4,BA
2014-12-04,-0.301,78.944,BA
2014-12-03,-0.736,78.794,BA
2014-12-02,-0.861,77.349,BA
2014-12-01,-0.375,64.125,BA
2014-11-30,0.75,73.5,BA
2014-11-29,0.474,74.421,BA
2014-11-28,0.231,73.769,BA
2014-11-27,0.238,79.524,BA
2014-11-26,-0.139,77.694,BA
2014-11-25,0.182,76.773,BA
2014-11-24,0.269,74.962,BA
2014-11-23,-0.244,78.049,BA
2014-11-22,-0.248,76.058,BA
2014-11-21,-0.053,76.115,BA
2014-11-20,0.304,77.643,BA
2014-11-19,0.406,74.219,BA
2014-11-18,0.398,73.5,BA
2014-11-17,-0.931,77.483,BA
2014-11-16,-0.25,80.5,BA
2014-11-15,0.118,77.486,BA
2014-11-14,0.286,78.857,BA
2014-11-13,0.218,80.945,BA
2014-11-12,0.028,81.947,BA
2014-11-11,-0.405,73.71,BA
2014-11-10,0.273,76.0,BA
2014-11-09,0.192,76.538,BA
2014-11-08,-0.21,78.286,BA
2014-11-07,0.087,78.739,BA
2014-11-06,0.808,79.115,BA
2014-11-05,0.333,80.333,BA
2014-11-04,-0.03,78.0,BA
2014-11-03,-0.2,73.8,BA
2014-11-02,0.018,75.6,BA
2014-11-01,-0.519,81.275,BA
2014-10-31,-0.227,79.16,BA
2014-10-30,-0.722,74.5,BA
2014-10-29,0.119,77.571,BA
2014-10-28,-0.107,80.554,BA
2014-10-27,-0.2,75.4,BA
2014-10-26,0.75,79.25,BA
2014-10-25,0.247,79.97,BA
2014-10-24,0.067,77.0,BA
2014-10-23,0.218,78.741,BA
2014-10-22,0.1,77.45,BA
2014-10-21,0.162,75.845,BA
2014-10-20,-0.167,74.3,BA
2014-10-19,0.861,80.778,BA
2014-10-18,0.042,74.375,BA
2014-10-17,0.133,77.1,BA
2014-10-16,0.254,78.105,BA
2014-10-15,0.077,76.192,BA
2014-10-14,0.062,76.779,BA
2014-10-13,-0.037,75.859,BA
2014-10-12,-0.237,72.649,BA
2014-10-11,0.182,79.211,BA
2014-10-10,0.552,81.672,BA
2014-10-09,-0.37,75.681,BA
2014-10-08,0.167,77.125,BA
2014-10-07,0.444,76.333,BA
2014-10-06,-0.481,77.556,BA
2014-10-05,0.0,77.0,BA
2014-10-04,0.6,74.6,BA
2014-10-03,-0.004,76.635,BA
2014-10-02,-0.167,80.266,BA
2014-10-01,-0.443,75.964,BA
2014-09-30,0.434,79.921,BA
2014-09-29,-0.769,75.558,BA
2014-09-28,-0.679,73.849,BA
2014-09-27,-0.105,77.895,BA
2014-09-26,-0.369,80.381,BA
2014-09-25,0.389,77.604,BA
2014-09-24,0.093,75.019,BA
2014-09-23,0.169,79.897,BA
2014-09-22,0.158,76.0,BA
2014-09-21,0.078,80.686,BA
2014-09-20,0.054,74.872,BA
2014-09-19,0.216,77.389,BA
2014-09-18,0.537,78.105,BA
2014-09-17,0.452,76.881,BA
2014-09-16,0.333,76.967,BA
2014-09-15,0.57,77.154,BA
2014-09-14,0.298,74.645,BA
2014-09-13,0.268,73.471,BA
2014-09-12,0.403,73.768,BA
2014-09-11,0.044,76.324,BA
2014-09-10,0.36,76.472,BA
2014-09-09,0.296,76.83,BA
2014-09-08,0.135,76.833,BA
2014-09-07,-0.025,76.355,BA
2014-09-06,-0.077,77.048,BA
2014-09-05,0.152,79.686,BA
2014-09-04,0.126,78.623,BA
2014-09-03,-0.3,79.35,BA
2014-09-02,-0.168,76.559,BA
2014-09-01,0.056,75.0,BA
2014-08-31,-0.031,74.031,BA
2014-08-30,0.072,75.556,BA
2014-08-29,0.152,78.105,BA
2014-08-28,0.268,80.446,BA
2014-08-27,0.362,78.328,BA
2014-08-26,0.422,78.503,BA
2014-08-25,0.19,74.214,BA
2014-08-24,0.176,75.706,BA
2014-08-23,0.286,75.098,BA
2014-08-22,0.144,75.676,BA
2014-08-21,0.484,75.436,BA
2014-08-20,0.367,79.5,BA
2014-08-19,-0.261,76.217,BA
2014-08-18,-0.054,73.861,BA
2014-08-17,0.077,75.692,BA
2014-08-16,-0.125,76.542,BA
2014-08-15,0.127,75.8,BA
2014-08-14,-0.037,75.037,BA
2014-08-13,-0.038,75.165,BA
2014-08-12,0.024,77.476,BA
2014-08-11,0.0,79.111,BA
2014-08-10,0.18,72.115,BA
2014-08-09,-0.003,75.101,BA
2014-08-08,0.024,75.219,BA
2014-08-07,0.24,75.924,BA
2014-08-06,0.396,76.788,BA
2014-08-05,0.196,76.143,BA
2014-08-04,-0.636,75.727,BA
2014-08-03,-0.564,74.457,BA
2014-08-02,-0.092,74.901,BA
2014-08-01,0.289,76.75,BA
2014-07-31,0.243,77.627,BA
2014-07-30,-0.37,75.386,BA
2014-07-29,-0.444,73.46,BA
2014-07-28,-0.898,71.87,BA
2014-07-27,-0.574,73.03,BA
2014-07-26,-0.284,75.494,BA
2014-07-25,0.201,77.23,BA
2014-07-24,0.551,79.832,BA
2014-07-23,-0.358,76.902,BA
2014-07-22,-0.247,75.558,BA
2014-07-21,0.026,73.41,BA
2014-07-20,-0.618,75.323,BA
2014-07-19,-0.556,76.143,BA
2014-07-18,-0.434,75.476,BA
2014-07-17,0.113,75.086,BA
2014-07-16,0.206,76.349,BA
2014-07-15,0.321,76.354,BA
2014-07-14,-0.144,74.328,BA
2014-07-13,-0.295,76.727,BA
2014-07-12,0.222,79.414,BA
2014-07-11,0.139,80.689,BA
2014-07-10,0.335,74.951,BA
2014-07-09,-0.351,75.976,BA
2014-07-08,-0.336,75.123,BA
2014-07-07,-0.5,73.25,BA
2014-07-06,0.232,75.286,BA
2014-07-05,0.435,76.296,BA
2014-07-04,0.235,76.329,BA
2014-07-03,0.176,74.055,BA
2014-07-02,0.155,74.093,BA
2014-07-01,0.06,74.661,BA
2014-06-30,0.205,74.308,BA
2014-06-29,-0.089,76.2,BA
2014-06-28,0.261,78.348,BA
2014-06-27,0.011,75.659,BA
2014-06-26,-0.222,76.422,BA
2014-06-25,0.51,75.544,BA
2014-06-24,0.202,77.545,BA
2014-06-23,-0.4,72.7,BA
2014-06-22,-0.476,72.524,BA
2014-06-21,0.222,76.417,BA
2014-06-20,0.254,76.238,BA
2014-06-19,0.142,75.956,BA
2014-06-18,0.331,75.897,BA
2014-06-17,0.344,77.722,BA
2014-06-16,-0.056,74.222,BA
2014-06-15,0.0,76.082,BA
2014-06-14,0.091,74.75,BA
2014-06-13,0.062,73.147,BA
2014-06-12,-0.247,76.34,BA
2014-06-11,0.045,76.553,BA
2014-06-10,0.4,75.6,BA
2014-06-09,0.75,78.0,BA
2014-06-08,0.4,77.2,BA
2014-06-07,0.3,76.412,BA
2014-06-06,0.615,78.077,BA
2014-06-05,-0.141,75.84,BA
2014-06-04,0.259,75.333,BA
2014-06-03,0.053,77.526,BA
2014-06-02,0.341,75.37,BA
2014-06-01,-0.278,74.167,BA
2014-05-31,0.308,76.0,BA
2014-05-30,0.45,78.349,BA
2014-05-29,0.448,78.944,BA
2014-05-28,0.217,77.916,BA
2014-05-27,0.154,77.077,BA
2014-05-26,0.125,78.0,BA
2014-05-25,0.313,76.25,BA
2014-05-24,0.482,76.882,BA
2014-05-23,0.566,75.514,BA
2014-05-22,0.384,77.182,BA
2014-05-21,-0.011,77.128,BA
2014-05-20,-0.079,76.867,BA
2014-05-19,-0.273,74.455,BA
2014-05-18,-0.733,73.975,BA
2014-05-17,0.013,73.039,BA
2014-05-16,0.37,77.391,BA
2014-05-15,0.351,77.439,BA
2014-05-14,0.228,73.823,BA
2014-05-13,0.329,74.537,BA
2014-05-12,0.167,74.5,BA
2014-05-11,-0.397,72.381,BA
2014-05-10,-0.128,76.231,BA
2014-05-09,0.303,74.697,BA
2014-05-08,0.183,76.571,BA
2014-05-07,-0.085,75.095,BA
2014-05-06,0.066,75.776,BA
2014-05-05,0.0,75.727,BA
2014-05-04,0.143,76.571,BA
2014-05-03,0.275,77.068,BA
2014-05-02,0.347,75.819,BA
2014-05-01,0.188,77.529,BA
2014-04-30,0.038,75.97,BA
2014-04-29,-0.211,76.637,BA
2014-04-28,-0.406,74.844,BA
2014-04-27,-0.062,77.414,BA
2014-04-26,-0.077,77.057,BA
2014-04-25,0.299,79.243,BA
2014-04-24,0.445,80.44,BA
2014-04-23,0.238,76.846,BA
2014-04-22,-0.079,76.579,BA
2014-04-21,-0.025,73.176,BA
2014-04-20,0.045,72.133,BA
